,Time Interval,Pkts number,Avg pkts interval,Avg pkts size,Inbound pkts,Outbound pkts,In pkts interval,Out pkts interval,In pkts size,Out pkts size,Person
409,204.5s - 205.0s,101,0.004965359217821785,1058.1584158415842,43,58,0.010531510904762004,0.008352334210526311,995.2558139534884,1104.7931034482758,0
410,205.0s - 205.5s,146,0.003416804219178081,1160.3698630136987,83,63,0.005859691756097341,0.007883437435483547,1213.4578313253012,1090.4285714285713,0
411,205.5s - 206.0s,97,0.005051873680412372,1089.639175257732,44,53,0.010472075255814103,0.008546351365384251,1049.9772727272727,1122.566037735849,0
412,206.0s - 206.5s,97,0.005263083628865979,1076.2577319587629,36,61,0.013106098914286284,0.008222050200000315,971.0555555555555,1138.344262295082,0
413,206.5s - 207.0s,68,0.007214855470588237,1040.4411764705883,12,56,0.03742658454545604,0.008552000727272777,529.4166666666666,1149.9464285714287,0
414,207.0s - 207.5s,85,0.006039079576470589,932.635294117647,22,63,0.022881195380951642,0.007957656967741584,489.6818181818182,1087.3174603174602,0
415,207.5s - 208.0s,67,0.007315413626865673,1000.6417910447761,11,56,0.04096886239999833,0.008727702509091015,487.72727272727275,1101.392857142857,0
416,208.0s - 208.5s,105,0.0048247284000000005,1116.4761904761904,47,58,0.010412316043478451,0.0082264634912281,1053.659574468085,1167.3793103448277,0
417,208.5s - 209.0s,131,0.00383099458778626,1139.557251908397,73,58,0.006827481625000094,0.008465294771929465,1180.9178082191781,1087.5,0
418,209.0s - 209.5s,139,0.0036074818417266186,1168.928057553957,82,57,0.0055555497160492415,0.008722895875000145,1213.4146341463415,1104.9298245614036,0
419,209.5s - 210.0s,93,0.005372294537634409,1085.6881720430108,37,56,0.013334974972221877,0.008484187236363348,999.7027027027027,1142.5,0
420,210.0s - 210.5s,128,0.0039196276796875,1155.984375,70,58,0.00683258088405805,0.008621500105263386,1194.9571428571428,1108.948275862069,1
421,210.5s - 211.0s,153,0.0032667858104575166,1168.7843137254902,97,56,0.005005424687499982,0.008928942690909025,1220.1649484536083,1079.7857142857142,1
422,211.0s - 211.5s,154,0.003244959441558443,1180.6818181818182,95,59,0.005005351255319022,0.008440570620689807,1240.042105263158,1085.1016949152543,1
423,211.5s - 212.0s,148,0.0033278929527027026,1184.7567567567567,90,58,0.0053103762584272044,0.008372510280701973,1225.3444444444444,1121.7758620689656,1
424,212.0s - 212.5s,151,0.003300835887417219,1182.8476821192053,96,55,0.0051559988842104516,0.008178548351851746,1232.65625,1095.909090909091,1
425,212.5s - 213.0s,144,0.003525407763888889,1168.6875,87,57,0.005552105686046608,0.008165082946428624,1236.4137931034484,1065.3157894736842,1
426,213.0s - 213.5s,144,0.003366628027777777,1153.638888888889,86,58,0.005073302529411743,0.008264948719298454,1205.9883720930231,1076.0172413793102,1
427,213.5s - 214.0s,143,0.0035588530839160853,1165.013986013986,84,59,0.0057883412048193444,0.008294592827586347,1223.4642857142858,1081.7966101694915,1
428,214.0s - 214.5s,142,0.003564777542253521,1175.394366197183,84,58,0.005723578975903708,0.00764149292982446,1244.642857142857,1075.103448275862,1
429,214.5s - 215.0s,146,0.003392539534246579,1134.445205479452,92,54,0.005394983230768975,0.009049306886792676,1203.8260869565217,1016.2407407407408,1
430,215.0s - 215.5s,148,0.0033765790472972982,1163.8445945945946,89,59,0.004243875181818104,0.008223794637930935,1235.5056179775281,1055.7457627118645,1
431,215.5s - 216.0s,128,0.00374667796875,1198.296875,77,51,0.005401033552631493,0.009383592080000084,1239.1038961038962,1136.686274509804,1
432,216.0s - 216.5s,161,0.0032326880993788828,1189.8385093167701,103,58,0.00441910429411758,0.008353567561403395,1237.126213592233,1105.8620689655172,1
433,216.5s - 217.0s,144,0.003421517284722222,1167.6875,84,60,0.005544326277108516,0.008130954101695074,1210.904761904762,1107.1833333333334,1
434,217.0s - 217.5s,141,0.003633985673758865,1191.8014184397164,85,56,0.004154764083333177,0.008467676818181955,1242.2823529411764,1115.1785714285713,1
435,217.5s - 218.0s,136,0.0036349435220588253,1189.7426470588234,79,57,0.004205520038461521,0.008759357660714276,1253.5822784810127,1101.2631578947369,1
436,218.0s - 218.5s,175,0.0029005855028571446,1157.8514285714286,116,59,0.0040914178521738315,0.008437000844827677,1217.2931034482758,1040.9830508474577,1
437,218.5s - 219.0s,147,0.003356031142857143,1157.7619047619048,87,60,0.005350413616279012,0.008151073135593379,1210.83908045977,1080.8,1
438,219.0s - 219.5s,145,0.003474296082758622,1177.9448275862069,89,56,0.0054593159318181836,0.008725783600000238,1253.0674157303372,1058.5535714285713,1
